tensor(1.7625)
tensor(1.6985)
tensor(1.6947)
tensor(1.6366)
tensor(1.5842)
tensor(1.5237)
tensor(1.6411)
tensor(1.4933)
tensor(1.5267)
tensor(1.6343)
tensor(1.5392)
tensor(1.5329)
tensor(1.5916)
tensor(1.3700)
tensor(1.3981)
tensor(1.7485)
tensor(1.4741)
tensor(1.3869)
tensor(1.3467)
tensor(1.3247)
tensor(1.3104)
tensor(1.3950)
tensor(1.3118)
tensor(1.2189)
tensor(1.4243)
tensor(1.1037)
tensor(1.1153)
tensor(1.2340)
tensor(1.3816)
tensor(1.3729)
